query,url
Rotten Tomatoes Chicago 2002,https://www.rottentomatoes.com/m/chicago
Rotten Tomatoes 12 Years a Slave 2013,https://www.rottentomatoes.com/m/12_years_a_slave
Rotten Tomatoes Moonlight 2016,https://www.rottentomatoes.com/m/moonlight_2016
Rotten Tomatoes Platoon 1986,https://www.rottentomatoes.com/m/platoon
Rotten Tomatoes Parasite 2019,https://www.rottentomatoes.com/m/parasite_2019?fullsite=true
Rotten Tomatoes All Quiet on the Western Front 1930,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front
Rotten Tomatoes You Cant Take It with You 1938,https://www.rottentomatoes.com/m/you_cant_take_it_with_you_1938
Rotten Tomatoes West Side Story 1961,https://www.rottentomatoes.com/m/west_side_story
Rotten Tomatoes The Lord of the Rings The Return of the King 2003,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king
Rotten Tomatoes The Departed 2006,https://www.rottentomatoes.com/m/departed
Rotten Tomatoes Titanic 1997,https://www.rottentomatoes.com/m/titanic
Rotten Tomatoes Miracle on 34th Street 1947,https://www.rottentomatoes.com/m/miracle_on_34th_street
Rotten Tomatoes As Good as It Gets 1997,https://www.rottentomatoes.com/m/as_good_as_it_gets
Rotten Tomatoes Gaslight 1944,https://www.rottentomatoes.com/m/gaslight/reviews?type=top_critics
Rotten Tomatoes Separate Tables 1958,https://www.rottentomatoes.com/m/1018587-separate_tables
Rotten Tomatoes Ship of Fools 1965,https://www.rottentomatoes.com/m/ship_of_fools
Rotten Tomatoes The Champ 1932,https://www.rottentomatoes.com/m/1030142-champ
Rotten Tomatoes The Human Comedy 1943,https://www.rottentomatoes.com/m/the_human_comedy_1943
Rotten Tomatoes The More the Merrier 1943,https://www.rottentomatoes.com/m/the_more_the_merrier
Rotten Tomatoes Citizen Kane 1941,https://www.rottentomatoes.com/m/citizen_kane
Rotten Tomatoes Sergeant York 1941,https://www.rottentomatoes.com/m/sergeant_york
Rotten Tomatoes Wilson 1944,https://en.wikipedia.org/wiki/Wilson_(1944_film)
Rotten Tomatoes Battleground 1949,https://www.rottentomatoes.com/m/1001816-battleground
Rotten Tomatoes Darling 1965,https://www.rottentomatoes.com/m/1005279-darling
Rotten Tomatoes Butch Cassidy and the Sundance Kid 1969,https://www.rottentomatoes.com/m/1003318-butch_cassidy_and_the_sundance_kid
Rotten Tomatoes The Turning Point 1977,https://en.wikipedia.org/wiki/The_Turning_Point_(1977_film)
Rotten Tomatoes Tender Mercies 1983,https://www.rottentomatoes.com/m/tender_mercies
Rotten Tomatoes Places in the Heart 1984,https://www.rottentomatoes.com/m/places_in_the_heart
Rotten Tomatoes Witness 1985,https://www.rottentomatoes.com/m/1023854-witness
Rotten Tomatoes Moonstruck 1987,https://www.rottentomatoes.com/m/moonstruck
Rotten Tomatoes The Aviator 2004,https://www.rottentomatoes.com/m/aviator
Rotten Tomatoes Milk 2008,https://www.rottentomatoes.com/m/milk
Rotten Tomatoes Manchester by the Sea 2016,https://www.rottentomatoes.com/m/manchester_by_the_sea
Rotten Tomatoes The Favourite 2018,https://www.rottentomatoes.com/m/the_favourite_2018
Rotten Tomatoes In Old Arizona 1929,https://www.rottentomatoes.com/m/in_old_arizona
Rotten Tomatoes Goodbye Mr Chips 1939,https://www.rottentomatoes.com/m/1008627-goodbye_mr_chips
Rotten Tomatoes Wuthering Heights 1939,https://www.rottentomatoes.com/m/1024192-wuthering_heights
Rotten Tomatoes Cat on a Hot Tin Roof 1958,https://www.rottentomatoes.com/m/cat_on_a_hot_tin_roof_1958
Rotten Tomatoes Sons and Lovers 1960,https://www.rottentomatoes.com/m/sons-and-lovers1960
Rotten Tomatoes Mary Poppins 1964,https://www.rottentomatoes.com/m/mary_poppins
Rotten Tomatoes Zorba the Greek 1964,https://www.rottentomatoes.com/m/zorba_the_greek
Rotten Tomatoes The Exorcist 1973,https://www.rottentomatoes.com/m/exorcist
Rotten Tomatoes Lenny 1974,https://www.rottentomatoes.com/m/lenny
Rotten Tomatoes Julia 1977,https://www.rottentomatoes.com/m/julia1977
Rotten Tomatoes The Killing Fields 1984,https://www.rottentomatoes.com/m/killing_fields
Rotten Tomatoes The Reader 2008,https://www.rottentomatoes.com/m/reader
Rotten Tomatoes The Social Network 2010,https://www.rottentomatoes.com/m/the-social-network
Rotten Tomatoes Lincoln 2012,https://www.rottentomatoes.com/m/lincoln_2011
Rotten Tomatoes Silver Linings Playbook 2012,https://www.rottentomatoes.com/m/silver_linings_playbook
Rotten Tomatoes Joker 2019,https://www.rottentomatoes.com/m/joker_2019
Rotten Tomatoes Poor Things 2023,https://www.rottentomatoes.com/m/poor_things
Rotten Tomatoes Giant 1956,https://www.rottentomatoes.com/m/giant
Rotten Tomatoes Born on the Fourth of July 1989,https://www.rottentomatoes.com/m/born_on_the_fourth_of_july
Rotten Tomatoes Life of Pi 2012,https://www.rottentomatoes.com/m/life-of-pi
Rotten Tomatoes The Power of the Dog 2021,https://www.rottentomatoes.com/m/the_power_of_the_dog
Rotten Tomatoes The Revenant 2015,https://www.rottentomatoes.com/m/the_revenant_2015
Rotten Tomatoes Green Book 2018,https://www.rottentomatoes.com/m/green_book
Rotten Tomatoes The Greatest Show on Earth 1952,https://www.rottentomatoes.com/m/greatest_show_on_earth
Rotten Tomatoes Chariots of Fire 1981,https://www.rottentomatoes.com/m/chariots_of_fire
Rotten Tomatoes Crash 2005,https://www.rottentomatoes.com/m/1144992-crash
Rotten Tomatoes Spotlight 2015,https://www.rottentomatoes.com/m/spotlight_2015
Rotten Tomatoes The Sound of Music 1965,https://www.rottentomatoes.com/m/sound_of_music
Rotten Tomatoes Ninotchka 1939,https://www.rottentomatoes.com/m/ninotchka
Rotten Tomatoes The Talk of the Town 1942,https://www.rottentomatoes.com/m/talk_of_the_town
Rotten Tomatoes The Goodbye Girl 1977,https://www.rottentomatoes.com/m/1008623-goodbye_girl
Rotten Tomatoes Broadcast News 1987,https://www.rottentomatoes.com/m/broadcast_news
Rotten Tomatoes Maestro 2023,https://www.rottentomatoes.com/m/maestro_2023
Rotten Tomatoes Pygmalion 1938,https://www.rottentomatoes.com/m/1016943-pygmalion
Rotten Tomatoes Mildred Pierce 1945,https://www.rottentomatoes.com/m/mildred_pierce
Rotten Tomatoes Elmer Gantry 1960,https://www.rottentomatoes.com/m/elmer_gantry
Rotten Tomatoes Lilies of the Field 1963,https://www.rottentomatoes.com/m/1012370-lilies_of_the_field
Rotten Tomatoes Anne of the Thousand Days 1969,https://www.rottentomatoes.com/m/anne_of_the_thousand_days
Rotten Tomatoes Coal Miners Daughter 1980,https://www.rottentomatoes.com/m/coal_miners_daughter
Rotten Tomatoes Missing 1982,https://en.wikipedia.org/wiki/Missing_(1982_film)
Rotten Tomatoes Children of a Lesser God 1986,https://www.rottentomatoes.com/m/children_of_a_lesser_god
Rotten Tomatoes Sense and Sensibility 1995,https://www.rottentomatoes.com/m/1068832-sense_and_sensibility
Rotten Tomatoes The Theory of Everything 2014,https://www.rottentomatoes.com/m/the_theory_of_everything_2014
Rotten Tomatoes A Star Is Born 2018,https://www.rottentomatoes.com/m/a_star_is_born_2018
Rotten Tomatoes The Father 2020,https://www.rottentomatoes.com/m/the_father_2021
Rotten Tomatoes Yankee Doodle Dandy 1942,https://www.rottentomatoes.com/m/yankee_doodle_dandy
Rotten Tomatoes Love Story 1970,https://www.rottentomatoes.com/m/love_story
Rotten Tomatoes Cries and Whispers 1973,https://www.rottentomatoes.com/m/cries_and_whispers
Rotten Tomatoes Dog Day Afternoon 1975,https://www.rottentomatoes.com/m/dog_day_afternoon
Rotten Tomatoes All That Jazz 1979,https://www.rottentomatoes.com/m/all_that_jazz
Rotten Tomatoes Atlantic City 1981,https://www.rottentomatoes.com/m/atlantic_city
Rotten Tomatoes Tootsie 1982,https://www.rottentomatoes.com/m/tootsie
Rotten Tomatoes Dead Poets Society 1989,https://www.rottentomatoes.com/m/dead_poets_society
Rotten Tomatoes Bugsy 1991,https://www.rottentomatoes.com/m/bugsy
Rotten Tomatoes The Crying Game 1992,https://www.rottentomatoes.com/m/crying_game
Rotten Tomatoes Pulp Fiction 1994,https://www.rottentomatoes.com/m/pulp_fiction
Rotten Tomatoes Shine 1996,https://www.rottentomatoes.com/m/shine
Rotten Tomatoes Good Will Hunting 1997,https://www.rottentomatoes.com/m/good_will_hunting
Rotten Tomatoes Life Is Beautiful 1998,https://www.rottentomatoes.com/m/1084398-life_is_beautiful
Rotten Tomatoes Erin Brockovich 2000,https://www.rottentomatoes.com/m/erin_brockovich
Rotten Tomatoes Gangs of New York 2002,https://www.rottentomatoes.com/m/gangs_of_new_york
Rotten Tomatoes Lost in Translation 2003,https://www.rottentomatoes.com/m/lost_in_translation
Rotten Tomatoes The Queen 2006,https://www.rottentomatoes.com/m/the_queen
Rotten Tomatoes Juno 2007,https://www.rottentomatoes.com/m/juno
Rotten Tomatoes American Hustle 2013,https://www.rottentomatoes.com/m/american_hustle
Rotten Tomatoes Nebraska 2013,https://www.rottentomatoes.com/m/nebraska-supersonic
Rotten Tomatoes Get Out 2017,https://www.rottentomatoes.com/m/get_out
Rotten Tomatoes 1917 2019,https://www.rottentomatoes.com/m/1917_2019
Rotten Tomatoes Once Upon a Time in Hollywood 2019,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood
Rotten Tomatoes Promising Young Woman 2020,https://www.rottentomatoes.com/m/promising_young_woman
Rotten Tomatoes Tar 2022,https://www.rottentomatoes.com/m/tar_2022
Rotten Tomatoes Anatomy of a Fall 2023,https://www.rottentomatoes.com/m/anatomy_of_a_fall
Rotten Tomatoes The Patriot 1929,https://en.wikipedia.org/wiki/The_Patriot_(1928_film)
Rotten Tomatoes The Divorcee 1930,https://www.rottentomatoes.com/m/divorcee
